64	430	0	87675
375	1397	32	149960
12	305	25	83441
6	190	4	114434
119	581	13	199023
7	91	1	32689
5	256	4	129752
32	324	2	108631
282	6190	189	599589
536	13982	442	1054656
98	2554	75	208711
40	793	54	173170
19	704	1	212719
25	390	6	168493
18	965	55	188937
74	606	9	147977
256	11439	300	712402
3247	89637	2650	3120358
732	27837	565	1225797
2161	59037	615	1605952
318	8808	195	619087
406	9995	285	592163
159	8161	372	472485
47	1318	45	114081
196	1644	14	155203
369	10281	233	584361
162	4575	105	311908
6	683	2	169884
37	1276	50	139757
125	5946	185	507524
85	2408	67	211498
112	2018	46	130964
15	1329	14	106317
233	12433	391	424830
